2022-04-03 15-19-59:已进入聊天室 your-channel
2022-04-03 15-20-00:收到来自 bo_od 的信息：hi
2022-04-03 15-20-00:收到来自 eeebot 的信息：ZhangBot!
2022-04-03 15-20-00:收到来自 bo_od 的信息：eeebot棒棒
2022-04-03 15-20-02:收到来自 27 的信息：哈哈哈
2022-04-03 15-20-06:收到来自 49 的信息：不要
2022-04-03 15-20-13:收到来自 27 的信息：哦~~~~
2022-04-03 15-20-19:收到来自 27 的信息：是不是原来那个啊
2022-04-03 15-20-21:收到来自 27 的信息：好的
2022-04-03 15-20-23:收到来自 49 的信息：嗯
